11/08/2019 01:14:13 a.m. Estoy intentantdo guardar un usuario nulo de nombre: 
11/08/2019 02:37:40 p.m. 62) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 63) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 64) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 65) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 66) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 67) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 68) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 69) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 70) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 71) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 72) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 73) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 74) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 75) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 76) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 77) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 78) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 79) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 80) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 81) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 82) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 83) ConnID: -1. ConnidValida: False Name:  UserLogged: False
11/08/2019 02:37:40 p.m. 84) ConnID: -1. ConnidValida: False Name:  UserLogged: False
